x	y	z
-0.91	-0.28	0.8670666656741697
-0.91	0.28	0.8670666656741396
-0.91	0.29	0.7673624296216514
-0.91	0.3	0.6470072063406797
-0.91	0.31	0.6272127422938031
-0.9	-0.02	0.8886334386502204
-0.9	-0.01	0.8878412812094543
-0.9	0.0	0.8875777305119377
-0.9	0.01	0.8878412812094544
-0.9	0.02	0.8886334386502208
-0.89	-0.07	0.8884292807139669
-0.89	-0.06	0.8846975559034121
-0.89	-0.05	0.8815852088082325
-0.89	-0.04	0.879069403375044
-0.89	-0.03	0.8771316326034796
-0.89	-0.02	0.8757576229526324
-0.89	-0.01	0.8749372477900855
-0.89	0.0	0.8746644597142437
-0.89	0.01	0.8749372477900859
-0.89	0.02	0.8757576229526326
-0.89	0.03	0.8771316326034803
-0.89	0.04	0.8790694033750447
-0.89	0.05	0.8815852088082333
-0.89	0.06	0.8846975559034135
-0.89	0.07	0.8884292807139685
-0.88	-0.09	0.8854915329723136
-0.88	-0.08	0.8801918419040715
-0.88	-0.07	0.8756260035415502
-0.88	-0.06	0.8717506944009762
-0.88	-0.05	0.8685296776172513
-0.88	-0.04	0.8659332238421945
-0.88	-0.03	0.8639376345990595
-0.88	-0.02	0.8625248616108612
-0.88	-0.01	0.8616822166364537
-0.88	0.0	0.8614021674327053
-0.88	0.01	0.8616822166364541
-0.88	0.02	0.8625248616108617
-0.88	0.03	0.8639376345990601
-0.88	0.04	0.8659332238421954
-0.88	0.05	0.8685296776172523
-0.88	0.06	0.8717506944009775
-0.88	0.07	0.8756260035415516
-0.88	0.08	0.8801918419040731
-0.88	0.09	0.8854915329723154
-0.87	-0.11	0.8861574671601133
-0.87	-0.1	0.8788925770713695
-0.87	-0.09	0.872552503431687
-0.87	-0.08	0.8670593354601822
-0.87	-0.07	0.8623478780294626
-0.87	-0.06	0.8583639118926962
-0.87	-0.05	0.8550628106962962
-0.87	-0.04	0.8524084445554639
-0.87	-0.03	0.850372319399676
-0.87	-0.02	0.848932915027911
-0.87	-0.01	0.8480751949396971
-0.87	0.0	0.8477902688250628
-0.87	0.01	0.8480751949396972
-0.87	0.02	0.8489329150279115
-0.87	0.03	0.8503723193996768
-0.87	0.04	0.8524084445554645
-0.87	0.05	0.8550628106962972
-0.87	0.06	0.8583639118926978
-0.87	0.07	0.8623478780294642
-0.87	0.08	0.8670593354601841
-0.87	0.09	0.872552503431689
-0.87	0.1	0.8788925770713719
-0.87	0.11	0.8861574671601162
-0.86	-0.12	0.8816639369206081
-0.86	-0.11	0.8730453744563685
-0.86	-0.1	0.8655318987872024
-0.86	-0.09	0.8590095067436896
-0.86	-0.08	0.8533840328131607
-0.86	-0.07	0.848577787035067
-0.86	-0.06	0.8445269503697513
-0.86	-0.05	0.8411795484651451
-0.86	-0.04	0.8384938766860155
-0.86	-0.03	0.83643728514101
-0.86	-0.02	0.8349852579011017
-0.86	-0.01	0.8341207392367894
-0.86	0.0	0.833833673843061
-0.86	0.01	0.8341207392367898
-0.86	0.02	0.834985257901102
-0.86	0.03	0.8364372851410108
-0.86	0.04	0.8384938766860164
-0.86	0.05	0.8411795484651463
-0.86	0.06	0.8445269503697526
-0.86	0.07	0.8485777870350687
-0.86	0.08	0.8533840328131624
-0.86	0.09	0.8590095067436915
-0.86	0.1	0.8655318987872048
-0.86	0.11	0.8730453744563716
-0.86	0.12	0.8816639369206115
-0.85	-0.13	0.8781055142835138
-0.85	-0.12	0.8679445442104619
-0.85	-0.11	0.8591155043477187
-0.85	-0.1	0.8514573050629776
-0.85	-0.09	0.8448385145840871
-0.85	-0.08	0.8391516582423016
-0.85	-0.07	0.8343088734014108
-0.85	-0.06	0.8302385733500189
-0.85	-0.05	0.8268828758505307
-0.85	-0.04	0.8241956221991337
-0.85	-0.03	0.822140861684187
-0.85	-0.02	0.8206917113686526
-0.85	-0.01	0.8198295268193361
-0.85	0.0	0.8195433388652087
-0.85	0.01	0.8198295268193361
-0.85	0.02	0.8206917113686529
-0.85	0.03	0.8221408616841874
-0.85	0.04	0.8241956221991343
-0.85	0.05	0.8268828758505318
-0.85	0.06	0.8302385733500203
-0.85	0.07	0.8343088734014127
-0.85	0.08	0.8391516582423034
-0.85	0.09	0.8448385145840891
-0.85	0.1	0.8514573050629801
-0.85	0.11	0.8591155043477218
-0.85	0.12	0.8679445442104653
